KACK,41.2531,-70.0603
KADS,32.9686,-96.8364
KAGC,40.3544,-79.9302
KALB,42.7483,-73.8017
KAPF,26.1526,-81.7753
KATL,33.6367,-84.4281
KAUS,30.1945,-97.6699
KAVQ,32.4096,-111.2185
KBAF,42.1578,-72.7156
KBAZ,29.7045,-98.0421
KBCT,26.3785,-80.1077
KBDL,41.9389,-72.6832
KBED,42.47,-71.289
KBGR,44.8074,-68.8281
KBHB,44.4498,-68.3615
KBHM,33.5629,-86.7535
KBKL,41.5175,-81.6833
KBLH,33.6192,-114.7169
KBLM,40.1869,-74.1249
KBLV,38.5452,-89.8352
KBMG,39.146,-86.6167
KBNA,36.1245,-86.6782
KBOS,42.3656,-71.0096
KBTR,30.5332,-91.1496
KBUF,42.9405,-78.7322
KCAE,33.9388,-81.1195
KCAK,40.9161,-81.4422
KCGF,41.5651,-81.4864
KCGZ,32.9549,-111.7667
KCHD,33.2691,-111.811
KCHS,32.8986,-80.0405
KCLE,41.4117,-81.8498
KCMH,39.998,-82.8919
KCMI,40.0392,-88.2781
KCNO,33.9747,-117.6368
KCQF,30.4607,-87.8768
KDAL,32.8471,-96.8518
KDAY,39.9024,-84.2194
KDED,29.067,-81.2838
KDHN,31.3213,-85.4496
KDTS,30.4001,-86.4715
KDVT,33.6883,-112.0826
KDWH,30.0618,-95.5528
KECP,30.3571,-85.7955
KEHO,35.2556,-81.6009
KELP,31.8072,-106.3776
KEYW,24.5561,-81.7596
KFCI,37.4064,-77.525
KFFZ,33.4608,-111.7283
KFLL,26.0726,-80.1527
KFOK,40.8437,-72.6318
KFPR,27.4951,-80.3683
KFRG,40.7288,-73.4134
KFXE,26.1973,-80.1707
KGNV,29.6901,-82.2718
KGRB,44.4851,-88.1296
KGTF,47.482,-111.3707
KHLN,46.6068,-111.9827
KHND,35.9728,-115.1343
KHPN,41.067,-73.7076
KHSA,30.3678,-89.4546
KHYI,29.8927,-97.863
KIAD,38.9445,-77.4558
KIAG,43.1073,-78.9462
KIGM,35.2595,-113.938
KISM,28.2898,-81.4371
KIWA,33.3078,-111.6555
KJAX,30.4941,-81.6879
KJFK,40.6398,-73.7789
KJKA,30.2896,-87.6718
KJQF,35.3878,-80.7091
KJWN,36.1824,-86.8867
KJYO,39.078,-77.5575
KLAS,36.0801,-115.1522
KLBE,40.2759,-79.4048
KLFT,30.2053,-91.9876
KLGB,33.8177,-118.1516
KLRD,27.5438,-99.4616
KLUK,39.1033,-84.4186
KLZU,33.9781,-83.9624
KMAC,32.822,-83.5619
KMCN,32.6928,-83.6492
KMCO,28.4294,-81.309
KMDW,41.786,-87.7524
KMGM,32.3006,-86.394
KMHT,42.9326,-71.4357
KMIA,25.7932,-80.2906
KMJX,39.9275,-74.2924
KMKY,25.995,-81.6725
KMLU,32.5109,-92.0377
KMMU,40.7994,-74.4149
KMOB,30.6912,-88.2428
KMQS,39.979,-75.8655
KMSP,44.882,-93.2218
KMTH,24.7261,-81.0514
KMVC,31.458,-87.351
KMZJ,32.5106,-111.3284
KNEW,30.0424,-90.0283
KNYL,32.6566,-114.606
KOPF,25.907,-80.2784
KOQU,41.5971,-71.4121
KORL,28.5455,-81.3329
KPBI,26.6832,-80.0956
KPDK,33.8756,-84.302
KPGA,36.9261,-111.4483
KPHL,39.8719,-75.2411
KPHX,33.4343,-112.0116
KPIE,27.9102,-82.6874
KPIT,40.4915,-80.2329
KPNS,30.4734,-87.1866
KPQL,30.4628,-88.5292
KPSF,42.4268,-73.2929
KPSP,33.8297,-116.5067
KPTK,42.6655,-83.4201
KPVD,41.7326,-71.4204
KPVU,40.2192,-111.7235
KPWK,42.1142,-87.9015
KPWM,43.6462,-70.3093
KRAS,27.8118,-97.0885
KRDU,35.8776,-78.7875
KRIC,37.5052,-77.3197
KRKP,28.0868,-97.0446
KROC,43.1189,-77.6724
KRSW,26.5362,-81.7552
KRYN,32.1422,-111.1745
KRYY,34.0132,-84.5971
KSAT,29.5337,-98.4698
KSAV,32.1276,-81.2021
KSDL,33.6229,-111.9105
KSEE,32.8262,-116.9724
KSEZ,34.8486,-111.7884
KSGJ,29.9592,-81.3398
KSRQ,27.3954,-82.5544
KSUA,27.1817,-80.2211
KSUS,38.6621,-90.652
KSWF,41.5041,-74.1048
KSYR,43.1112,-76.1063
KTEB,40.8501,-74.0608
KTLH,30.3965,-84.3503
KTOL,41.5868,-83.8078
KTPA,27.9755,-82.5332
KTRI,36.4752,-82.4074
KTTN,40.2767,-74.8135
KTUL,36.1984,-95.8881
KUNV,40.8493,-77.8487
KVGT,36.2107,-115.1944
KVNC,27.0715,-82.4403
KVNY,34.2098,-118.49
KVRB,27.6556,-80.4179
